user,mode,dt,d_km,slope,t_a,t_b,lat_a,lng_a,lat_b,lng_b,near_frontier,reach_frac
2,transit,15.0,0.324,46.3,53.0,68.0,51.50447,-0.14122,51.50174,-0.14287,False,1.0
2,transit,15.0,0.32,46.9,48.0,63.0,51.49383,-0.02658,51.49363,-0.03119,False,1.0
3,walking,15.0,0.346,43.3,16.0,31.0,51.55817,-0.00977,51.55565,-0.00681,False,0.302
3,walking,15.0,0.324,46.3,57.0,42.0,51.58015,0.00816,51.57743,0.0065,False,0.302
2,transit,15.0,0.324,46.3,53.0,38.0,51.50599,0.00774,51.50326,0.00607,False,1.0
2,transit,15.0,0.346,43.3,69.0,54.0,51.48608,-0.02234,51.48859,-0.02529,False,1.0
2,transit,15.0,0.324,46.3,56.0,41.0,51.5382,0.07677,51.54093,0.07843,False,1.0
3,walking,15.0,0.346,43.3,71.0,86.0,51.57997,-0.05484,51.58248,-0.0578,False,0.302
2,transit,15.0,0.324,46.3,61.0,46.0,51.50263,-0.06607,51.49991,-0.06773,False,1.0
4,cycling,15.0,0.324,46.3,93.0,108.0,51.48859,-0.02529,51.48587,-0.02695,False,0.547
3,walking,15.0,0.346,43.3,58.0,73.0,51.57766,-0.04726,51.58018,-0.05022,False,0.302
1,cycling,15.0,0.324,46.2,57.0,72.0,51.48623,-0.13435,51.4835,-0.13601,False,0.838
0,cycling,15.0,0.32,46.9,95.0,110.0,51.50662,-0.03673,51.50683,-0.03212,True,0.677
2,transit,15.0,0.324,46.3,56.0,41.0,51.54365,0.0801,51.54093,0.07843,False,1.0
0,cycling,15.0,0.324,46.3,106.0,91.0,51.48629,-0.01773,51.48356,-0.01939,False,0.677
5,cycling,14.0,0.347,40.4,38.0,52.0,51.50548,-0.1765,51.508,-0.17946,False,0.783
2,transit,14.0,0.346,40.4,53.0,67.0,51.57766,-0.04726,51.58018,-0.05022,False,1.0
1,cycling,14.0,0.347,40.4,46.0,32.0,51.53298,-0.15531,51.53549,-0.15828,False,0.838
0,cycling,14.0,0.324,43.2,81.0,95.0,51.50012,-0.06312,51.50284,-0.06146,False,0.677
1,cycling,14.0,0.324,43.2,94.0,108.0,51.57703,-0.06112,51.57976,-0.05946,False,0.838
2,transit,14.0,0.324,43.2,38.0,52.0,51.57133,0.04767,51.5686,0.046,False,1.0
2,transit,14.0,0.32,43.8,41.0,55.0,51.54093,0.07843,51.54113,0.08304,False,1.0
3,walking,14.0,0.32,43.7,103.0,89.0,51.57075,-0.08292,51.57096,-0.0783,False,0.302
2,transit,14.0,0.321,43.7,70.0,84.0,51.47237,-0.14725,51.47216,-0.15186,False,1.0
3,walking,14.0,0.32,43.7,71.0,85.0,51.57997,-0.05484,51.57976,-0.05946,False,0.302
3,walking,14.0,0.32,43.7,109.0,95.0,51.52422,0.00092,51.52443,0.00553,False,0.302
2,transit,14.0,0.32,43.7,47.0,33.0,51.56006,-0.02657,51.56027,-0.02195,False,1.0
2,transit,14.0,0.324,43.2,15.0,29.0,51.55293,-0.00848,51.55565,-0.00681,False,1.0
2,transit,14.0,0.32,43.8,42.0,56.0,51.57091,0.03844,51.57112,0.04305,False,1.0
3,walking,14.0,0.346,40.4,71.0,85.0,51.57724,-0.0565,51.57976,-0.05946,False,0.302
4,cycling,14.0,0.32,43.8,17.0,3.0,51.56106,0.05485,51.56126,0.05947,False,0.547
2,transit,14.0,0.324,43.2,15.0,29.0,51.55838,-0.00515,51.55565,-0.00681,False,1.0
3,walking,14.0,0.346,40.4,45.0,31.0,51.56006,-0.02657,51.55754,-0.02362,False,0.302
4,cycling,14.0,0.32,43.7,94.0,108.0,51.48608,-0.02234,51.48587,-0.02695,False,0.547
5,cycling,14.0,0.321,43.7,38.0,52.0,51.50778,-0.18408,51.508,-0.17946,False,0.783
3,walking,14.0,0.346,40.4,93.0,107.0,51.53008,0.01347,51.52757,0.01642,False,0.302
3,walking,14.0,0.32,43.8,78.0,92.0,51.57091,0.03844,51.57112,0.04305,False,0.302
3,walking,14.0,0.32,43.7,65.0,79.0,51.58562,-0.04689,51.58541,-0.05151,False,0.302
3,walking,14.0,0.346,40.4,46.0,32.0,51.56423,0.00741,51.56675,0.00446,False,0.302
2,transit,14.0,0.32,43.7,58.0,44.0,51.50159,-0.03082,51.5018,-0.02621,False,1.0
2,transit,14.0,0.347,40.4,82.0,96.0,51.41656,-0.14972,51.41404,-0.14677,True,1.0
1,cycling,14.0,0.32,43.7,94.0,108.0,51.57955,-0.06408,51.57976,-0.05946,False,0.838
1,cycling,14.0,0.32,43.7,105.0,119.0,51.4909,-0.03285,51.49111,-0.02824,True,0.838
2,transit,14.0,0.32,43.8,47.0,33.0,51.57364,0.0401,51.57384,0.04472,False,1.0
3,walking,14.0,0.324,43.2,90.0,104.0,51.54976,0.03896,51.55248,0.04063,False,0.302
2,transit,14.0,0.324,43.2,47.0,33.0,51.57364,0.0401,51.57636,0.04177,False,1.0
1,cycling,14.0,0.324,43.2,105.0,119.0,51.48838,-0.0299,51.49111,-0.02824,True,0.838
3,walking,14.0,0.32,43.8,32.0,46.0,51.56403,0.00279,51.56423,0.00741,False,0.302
3,walking,14.0,0.324,43.2,65.0,79.0,51.58562,-0.04689,51.5829,-0.04856,False,0.302
3,walking,14.0,0.346,40.4,93.0,79.0,51.53008,0.01347,51.5326,0.01052,False,0.302
1,cycling,14.0,0.32,43.7,32.0,46.0,51.53276,-0.15993,51.53298,-0.15531,False,0.838
2,transit,13.0,0.32,40.6,51.0,64.0,51.57515,-0.0443,51.57494,-0.04892,False,1.0
0,cycling,13.0,0.324,40.1,104.0,117.0,51.54425,-0.19786,51.54698,-0.1962,True,0.677
2,transit,13.0,0.321,40.5,75.0,88.0,51.43602,-0.18722,51.4358,-0.19183,True,1.0
1,cycling,13.0,0.346,37.5,106.0,119.0,51.49363,-0.03119,51.49111,-0.02824,True,0.838
0,cycling,13.0,0.346,37.5,82.0,95.0,51.50033,-0.0585,51.50284,-0.06146,False,0.677
5,cycling,13.0,0.347,37.5,28.0,41.0,51.48602,-0.13897,51.4835,-0.13601,False,0.783
1,cycling,13.0,0.324,40.1,40.0,53.0,51.55185,-0.14833,51.55458,-0.14667,False,0.838
0,cycling,13.0,0.32,40.6,82.0,95.0,51.50263,-0.06607,51.50284,-0.06146,False,0.677
0,cycling,13.0,0.347,37.5,104.0,117.0,51.54447,-0.19324,51.54698,-0.1962,True,0.677
2,transit,13.0,0.324,40.1,54.0,67.0,51.48859,-0.02529,51.48587,-0.02695,False,1.0
3,walking,13.0,0.32,40.6,94.0,107.0,51.52777,0.02104,51.52757,0.01642,False,0.302
2,transit,13.0,0.321,40.5,78.0,65.0,51.49097,-0.20325,51.49075,-0.20787,False,1.0
3,walking,13.0,0.32,40.7,96.0,109.0,51.56357,0.0519,51.56378,0.05652,False,0.302
3,walking,13.0,0.346,37.5,26.0,39.0,51.56237,-0.03414,51.55985,-0.03119,False,0.302
0,cycling,13.0,0.346,37.5,98.0,85.0,51.50305,-0.05684,51.50054,-0.05389,False,0.677
3,walking,13.0,0.32,40.6,61.0,74.0,51.5703,0.02459,51.5705,0.0292,False,0.302
