idx,lat,lng,driving_o0,cycling_o0,transit_o0,walking_o0,driving_o1,driving_o2,driving_o3,n_modes_anom,n_origins_anom
176,51.57201,-0.05521,1.5,,0.0,,2.5,1.5,2.5,0,0
177,51.57326,-0.02749,1.0,,-5.0,,0.0,1.0,0.0,0,0
178,51.55566,-0.06518,3.0,,1.0,,2.0,-0.5,-1.0,0,0
179,51.48439,-0.05923,0.5,1.0,-1.5,,0.0,1.0,1.0,0,0
180,51.55692,-0.03747,-1.0,,0.5,,-1.0,0.5,0.5,0,0
181,51.53132,0.04115,0.0,,0.5,,0.0,0.0,0.0,0,0
182,51.48566,-0.03156,0.0,-1.0,0.0,,-1.0,-1.0,-1.5,0,0
183,51.55201,0.08971,1.0,,-0.5,,0.5,1.0,0.5,0,0
184,51.45482,-0.06826,1.0,-0.5,2.5,,-1.0,0.5,1.0,0,0
185,51.56085,0.05024,-1.0,,-2.0,,-1.5,-1.5,-1.5,0,0
186,51.56208,0.07792,-1.0,,1.0,,-1.0,-2.0,-1.0,0,0
187,51.54452,0.04025,1.5,,3.5,,0.5,1.0,1.0,0,0
188,51.54575,0.06793,1.5,,-2.5,,0.5,-3.0,0.5,0,0
189,51.57871,-0.08256,0.5,,-0.5,,-0.5,-0.5,-0.5,0,0
190,51.59104,0.01482,1.0,,3.0,,0.0,0.5,1.5,0,0
191,51.46364,-0.04945,1.0,1.5,8.5,,1.5,1.0,0.5,0,0
192,51.50648,-0.2118,1.5,-1.0,-1.5,,1.0,1.0,0.0,0,0
193,51.54949,-0.19917,2.0,2.5,4.5,,2.0,1.5,1.5,0,0
194,51.4901,-0.22172,-0.5,-2.5,2.5,,1.5,1.0,0.5,0,0
195,51.54686,-0.02565,2.0,,-4.5,,1.5,3.0,3.0,0,0
196,51.54073,-0.15958,0.5,1.5,-1.0,,-0.5,0.0,0.5,0,0
197,51.47118,-0.05831,1.5,-1.5,-0.5,,1.5,0.0,0.5,0,0
198,51.54246,-0.06424,-0.5,-1.5,1.5,,-0.5,1.0,0.0,0,0
199,51.5632,-0.01567,-1.5,,-4.5,,-0.5,-2.0,-1.5,0,0
200,51.5192,-0.0515,-1.0,0.0,3.5,,0.0,0.0,0.5,0,0
201,51.51991,-0.20814,2.0,2.5,0.5,,2.0,2.0,2.0,0,0
202,51.50158,-0.08914,-1.0,0.5,-1.5,,0.0,-1.5,-1.5,0,0
203,51.52437,-0.16953,0.0,-2.0,1.5,,-0.5,0.5,0.0,0,0
204,51.51291,-0.01495,0.5,-1.5,2.5,,1.0,0.0,1.0,0,0
205,51.5173,0.02361,-1.5,,2.5,,-1.5,-0.5,-1.5,0,0
206,51.42583,-0.12171,0.0,0.0,1.0,-2.5,0.0,0.0,0.0,0,0
207,51.47618,-0.12252,-1.0,0.5,-1.0,0.0,-1.0,-1.5,-1.5,0,0
