pattern,n_coarse,n_fine,ours_variance,own_grid_opt,ref_opt,seam_gap_pct,quant_gap_pct,total_gap_pct,quant_km,ours_calls,exhaustive_calls,call_ratio,certified,certified_rounds,certified_calls,certified_gap_pct,city,n,seed
square,192,1338,46.6446,46.6446,46.6364,0.0,0.0174,0.0174,0.0293,1530,6690,0.2287,True,0,1595,0.0174,bengaluru,5,8
octile,192,1338,46.6446,46.6446,46.6364,0.0,0.0174,0.0174,0.0293,1560,6690,0.2332,True,0,1625,0.0174,bengaluru,5,8
triangle,189,1344,46.6918,46.6918,46.6364,0.0,0.1187,0.1187,0.0738,1425,6720,0.2121,True,0,1560,0.1187,bengaluru,5,8
trunc_square,192,1341,47.063,47.063,46.6364,0.0,0.9146,0.9146,0.2181,1440,6705,0.2148,True,2,1575,0.9146,bengaluru,5,8
poisson,188,1359,47.1563,47.1563,46.6364,0.0,1.1147,1.1147,0.2728,1510,6795,0.2222,True,1,1640,1.1147,bengaluru,5,8
h3,216,1516,1720.0441,1720.0441,1718.8988,0.0,0.0666,0.0666,0.1348,1545,7580,0.2038,True,8,1805,0.0666,bengaluru,5,9
square,217,1554,1719.7817,1719.7817,1718.8988,0.0,0.0514,0.0514,0.1058,1575,7770,0.2027,True,13,2065,0.0514,bengaluru,5,9
octile,217,1554,1719.7817,1719.7817,1718.8988,0.0,0.0514,0.0514,0.1058,1590,7770,0.2046,True,13,2075,0.0514,bengaluru,5,9
triangle,226,1553,1719.0569,1719.0569,1718.8988,0.0,0.0092,0.0092,0.051,1560,7765,0.2009,True,21,2300,0.0092,bengaluru,5,9
trunc_square,224,1557,1721.238,1721.238,1718.8988,0.0,0.1361,0.1361,0.2481,1670,7785,0.2145,True,13,2225,0.1361,bengaluru,5,9
poisson,226,1559,1718.9918,1718.9918,1718.8988,0.0,0.0054,0.0054,0.0722,1590,7795,0.204,True,16,2100,0.0054,bengaluru,5,9
h3,478,3364,238.6582,238.6582,238.4306,0.0,0.0955,0.0955,0.1363,2495,16820,0.1483,True,17,3410,0.0955,bengaluru,5,10
square,494,3448,238.4178,238.4178,238.4306,0.0,-0.0054,-0.0054,0.0406,2565,17240,0.1488,True,24,3910,-0.0054,bengaluru,5,10
octile,494,3448,238.4178,238.4178,238.4306,0.0,-0.0054,-0.0054,0.0406,2605,17240,0.1511,True,24,3915,-0.0054,bengaluru,5,10
triangle,488,3449,238.5939,238.5939,238.4306,0.0,0.0685,0.0685,0.1951,2485,17245,0.1441,True,35,4305,0.0685,bengaluru,5,10
trunc_square,492,3450,238.4298,238.4298,238.4306,0.0,-0.0003,-0.0003,0.0897,2570,17250,0.149,True,23,4180,-0.0003,bengaluru,5,10
poisson,495,3497,238.4861,238.4861,238.4306,0.0,0.0233,0.0233,0.1361,2520,17485,0.1441,True,29,4095,0.0233,bengaluru,5,10
h3,373,2623,137.3701,137.3701,137.1691,0.0,0.1465,0.1465,0.3457,2495,13115,0.1902,True,25,3065,0.1465,bengaluru,5,11
square,387,2696,137.2607,137.2607,137.1691,0.0,0.0668,0.0668,0.3598,2560,13480,0.1899,True,33,3660,0.0668,bengaluru,5,11
octile,387,2696,137.2607,137.2607,137.1691,0.0,0.0668,0.0668,0.3598,2615,13480,0.194,True,32,3630,0.0668,bengaluru,5,11
triangle,382,2699,137.4088,137.4088,137.1691,0.0,0.1747,0.1747,0.8111,2450,13495,0.1815,True,41,3820,0.1747,bengaluru,5,11
